'2016-09-24 10:35:36'
'2016-09-24 10:35:56'
'2016-09-24 10:36:16'
'2016-09-24 10:36:36'
'2016-09-24 10:36:56'
'2016-09-24 10:37:15'
'2016-09-24 10:37:35'
'2016-09-24 10:37:55'
'2016-09-24 10:38:15'
'2016-09-24 10:38:35'
'2016-09-24 10:38:55'
'2016-09-24 10:39:16'
'2016-09-24 10:39:36'
'2016-09-24 10:39:56'
'2016-09-24 10:40:16'
'2016-09-24 10:40:36'
'2016-09-24 10:40:56'
'2016-09-24 10:41:16'
'2016-09-24 10:41:36'
'2016-09-24 10:41:55'
'2016-09-24 10:42:15'
'2016-09-24 10:42:35'
'2016-09-24 10:42:55'
'2016-09-24 10:43:16'
'2016-09-24 10:43:35'
'2016-09-24 10:43:55'
'2016-09-24 10:44:15'
'2016-09-24 10:44:35'
'2016-09-24 10:44:56'
'2016-09-24 10:45:17'
'2016-09-24 10:45:38'
'2016-09-24 10:45:58'
'2016-09-24 10:46:18'
'2016-09-24 10:46:38'
'2016-09-24 10:46:58'
'2016-09-24 10:47:17'
'2016-09-24 10:47:38'
'2016-09-24 10:47:58'
'2016-09-24 10:48:18'
'2016-09-24 10:48:38'
'2016-09-24 10:48:58'
'2016-09-24 10:49:18'
'2016-09-24 10:49:37'
'2016-09-24 10:49:57'
'2016-09-24 10:50:17'
'2016-09-24 10:50:37'
'2016-09-24 10:50:58'
'2016-09-24 10:51:17'
'2016-09-24 10:51:38'
'2016-09-24 10:51:58'
'2016-09-24 10:52:19'
'2016-09-24 10:52:39'
'2016-09-24 10:52:58'
'2016-09-24 10:53:19'
'2016-09-24 10:53:39'
'2016-09-24 10:53:59'
'2016-09-24 10:54:19'
'2016-09-24 10:54:38'
'2016-09-24 10:54:59'
'2016-09-24 10:55:19'
'2016-09-24 10:55:39'
'2016-09-24 10:55:59'
'2016-09-24 10:56:19'
'2016-09-24 10:56:39'
'2016-09-24 10:56:58'
'2016-09-24 10:57:18'
'2016-09-24 10:57:39'
'2016-09-24 10:57:59'
'2016-09-24 10:58:19'
'2016-09-24 10:58:40'
'2016-09-24 10:59:00'
'2016-09-24 10:59:20'
'2016-09-24 10:59:40'
'2016-09-24 10:59:59'
'2016-09-24 11:00:19'
'2016-09-24 11:00:40'
'2016-09-24 11:01:00'
'2016-09-24 11:01:20'
'2016-09-24 11:01:40'
'2016-09-24 11:01:59'
'2016-09-24 11:02:19'
'2016-09-24 11:02:40'
'2016-09-24 11:02:59'
'2016-09-24 11:03:20'
'2016-09-24 11:03:40'
'2016-09-24 11:04:00'
'2016-09-24 11:04:20'
'2016-09-24 11:04:40'
'2016-09-24 11:05:00'
'2016-09-24 11:05:20'
'2016-09-24 11:05:39'
'2016-09-24 11:06:00'
'2016-09-24 11:06:19'
'2016-09-24 11:06:40'
'2016-09-24 11:07:00'
'2016-09-24 11:07:20'
'2016-09-24 11:07:40'
'2016-09-24 11:08:00'
'2016-09-24 11:08:20'
'2016-09-24 11:08:40'
'2016-09-24 11:08:59'
'2016-09-24 11:09:20'
'2016-09-24 11:09:40'
'2016-09-24 11:10:00'
'2016-09-24 11:10:20'
'2016-09-24 11:10:40'
'2016-09-24 11:11:00'
'2016-09-24 11:11:19'
'2016-09-24 11:11:40'
'2016-09-24 11:12:00'
'2016-09-24 11:12:20'
'2016-09-24 11:12:40'
'2016-09-24 11:12:59'
'2016-09-24 11:13:19'
'2016-09-24 11:13:40'
'2016-09-24 11:14:00'
'2016-09-24 11:14:20'
'2016-09-24 11:14:40'
'2016-09-24 11:15:01'
'2016-09-24 11:15:21'
'2016-09-24 11:15:42'
'2016-09-24 11:16:02'
'2016-09-24 11:16:22'
'2016-09-24 11:16:42'
'2016-09-24 11:17:02'
'2016-09-24 11:17:21'
'2016-09-24 11:17:42'
'2016-09-24 11:18:02'
'2016-09-24 11:18:22'
'2016-09-24 11:18:42'
'2016-09-24 11:19:02'
'2016-09-24 11:19:22'
'2016-09-24 11:19:42'
'2016-09-24 11:20:01'
'2016-09-24 11:20:22'
'2016-09-24 11:20:42'
'2016-09-24 11:21:02'
'2016-09-24 11:21:21'
'2016-09-24 11:21:41'
'2016-09-24 11:22:01'
'2016-09-24 11:22:22'
'2016-09-24 11:22:42'
'2016-09-24 11:23:02'
'2016-09-24 11:23:22'
'2016-09-24 11:23:41'
'2016-09-24 11:24:02'
